id,Class,Order,Family,Genus,Species,Sub species,Common Name,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
9085,Reptilia,Testudines,Testudinidae,Gopherus,agassizii,,Desert tortoise,North America,37.155,-113.61111,FALSE,Terrestrial,Deserts and xeric shrublands,Nearctic,Yes,No,No,No. tortoises per hectare,Distance sampling and radio telemetry,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.3,0.3,,,,,,,,,,,,,
9103,Reptilia,Testudines,Emydidae,Chrysemys,picta,,Painted turtle,North America,41.96667,-90.1,FALSE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of nests,Monitoring of nesting beach during May June and July,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,7.7,6.6,,,,,,,,,,,
9178,Reptilia,Testudines,Dermochelyidae,Dermochelys,coriacea,,Leatherback turtle,North America,37.13333,-123.25,FALSE,Marine,Unknown,Pacific north temperate,Yes,No,No,No. turtle sightings,Aerial line-transect surveys,No,,,,,,,,,,,,,,,,,,,,,370,150,,100,,10,,210,,380,220,120,170,110,,,,,,,,,,,
9409,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,,American alligator,North America,33.92361,-78.04806,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Sightings per trip,Sightings on boat trip,No,,,0.23,0.16,0.24,0.23,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10409,Reptilia,Testudines,Emydidae,Clemmys,insculpta,,Wood turtle,North America,41.31,-72.92389,TRUE,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,Yes,No,No,Number of individuals,Mark and recapture,No,,,,,84,82,85,86,89,86,104,105,106,102,77,68,66,57,45,36,23,14,,,,,,,,,,,,,,,,,,,,,,,
10413,Reptilia,Testudines,Emydidae,Clemmys,guttata,,Spotted turtle,North America,40.16278,-76.395,TRUE,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,Yes,No,No,Index of population size,Dip net catches,No,,,233,222,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11224,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,,Green turtle,North America,27.85833,-80.42889,TRUE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Nesting turtles,Annual surveys of nesting turtles,No,,,,,,,,,,,,,48,42,41,287,77,212,88,174,494,149,703,86,1133,85,811,121,1685,21,2448,45,2657,562,943,3160,,,,,,,,,
11238,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,32,-80,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,relative abundance index (bycatch per unit effort standardised into an index),Standardised stratified sampling by towing ship and fishing nets and standardising data to account for season etc,No,,,,,,,,,,,,,,,,,,,,,0.753,0.728,0.817,0.543,1.101,0.452,0.819,1.281,1.75,1.004,,,,,,,,,,,,,,,
11239,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,33.04417,-79.35139,TRUE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Nesting females,Beach patrols and nesting females counted,No,,,,,,,,,,,,,,,,,,,,785,1354,1059,1049,592,1232,917,1130,612,1049,,,,,,,,,,,,,,,,
11240,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,27.289167,-80.215556,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,female nesting turtles,Counts of nests,No,,,,,,,,,,,,1635,1839,1551,,1670,1739,2240,2292,,2165,1936,2225,,2744,2591,1989,2669,,,,,,,,,,,,,,,,,
11257,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,34.36444,-77.63139,TRUE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,total number of nests laid,systematic beach surveys,No,,,,,,,,,,,,,,,,,,,,,107,140,100,66,104,99,122,65,100,183,,,,,,,,,,,,,,,
11930,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,,Green turtle,North America,29.152686,-82.814869,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals per hour,Netting surveys performed during neap tides over 6-12 hours.,No,,,,,,,,,,,,,,,,,0.1072,0.2547,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11952,Reptilia,Testudines,Cheloniidae,Lepidochelys,kempii,,Kemp's ridley turtle,North America,29.152686,-82.814869,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Number of individuals per hour,Netting surveys performed during neap tides over 6-12 hours.,No,,,,,,,,,,,,,,,,,0,0,,0.789,,,,,,,,,,,,,,,,,,,,,,,,,
11953,Reptilia,Squamata,Colubridae,Lampropeltis,getula,,Common kingsnake,North America,34.48392,-106.830765,FALSE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Number of individuals,Snakes were captured at 12 sites using drift fence arrays with pitfall traps  cover boards and funnel traps. Traps were placed at random >25m from the edge of each sampling site and 320m from each other. Traps were checked three days a week and remained open from June to mid-September each year.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,1,6,7,10,7,,,,,,,,
11954,Reptilia,Squamata,Colubridae,Pituophis,catenifer,,Gophersnake,North America,34.48392,-106.830765,FALSE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Number of individuals,Snakes were captured at 12 sites using drift fence arrays with pitfall traps  cover boards and funnel traps. Traps were placed at random >25m from the edge of each sampling site and 320m from each other. Traps were checked three days a week and remained open from June to mid-September each year.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,9,5,10,1,,,,,,,,
11955,Reptilia,Squamata,Colubridae,Tantilla,nigriceps,,Plains blackhead snake,North America,34.48392,-106.830765,FALSE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Number of individuals,Snakes were captured at 12 sites using drift fence arrays with pitfall traps  cover boards and funnel traps. Traps were placed at random >25m from the edge of each sampling site and 320m from each other. Traps were checked three days a week and remained open from June to mid-September each year.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,0,6,6,5,,,,,,,,
11956,Reptilia,Squamata,Colubridae,Heterodon,nasicus,,Plains hognose snake,North America,34.48392,-106.830765,FALSE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Number of individuals,Snakes were captured at 12 sites using drift fence arrays with pitfall traps  cover boards and funnel traps. Traps were placed at random >25m from the edge of each sampling site and 320m from each other. Traps were checked three days a week and remained open from June to mid-September each year.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,3,2,2,1,,,,,,,,
11957,Reptilia,Squamata,Colubridae,Thamnophis,sirtalis,,Common garter snake,North America,34.48392,-106.830765,FALSE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Number of individuals,Snakes were captured at 12 sites using drift fence arrays with pitfall traps  cover boards and funnel traps. Traps were placed at random >25m from the edge of each sampling site and 320m from each other. Traps were checked three days a week and remained open from June to mid-September each year.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,4,3,,,,,,,,
11958,Reptilia,Squamata,Viperidae,Crotalus,viridis,,Green prairie rattlesnake,North America,34.48392,-106.830765,FALSE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Number of individuals,Snakes were captured at 12 sites using drift fence arrays with pitfall traps  cover boards and funnel traps. Traps were placed at random >25m from the edge of each sampling site and 320m from each other. Traps were checked three days a week and remained open from June to mid-September each year.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,6,1,1,,,,,,,,
11959,Reptilia,Squamata,Viperidae,Crotalus,atrox,,Western diamond-backed rattlesnake,North America,34.48392,-106.830765,FALSE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Number of individuals,Snakes were captured at 12 sites using drift fence arrays with pitfall traps  cover boards and funnel traps. Traps were placed at random >25m from the edge of each sampling site and 320m from each other. Traps were checked three days a week and remained open from June to mid-September each year.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,5,0,,,,,,,,
11960,Reptilia,Squamata,Colubridae,Masticophis,flagellum,,Coachwhip,North America,34.48392,-106.830765,FALSE,Terrestrial,Temperate coniferous forests,Nearctic,Yes,No,No,Number of individuals,Snakes were captured at 12 sites using drift fence arrays with pitfall traps  cover boards and funnel traps. Traps were placed at random >25m from the edge of each sampling site and 320m from each other. Traps were checked three days a week and remained open from June to mid-September each year.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,2,0,0,,,,,,,,
