id,Class,Order,Family,Genus,Species,Sub species,Common Name,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
967,Amphibia,Anura,Ranidae,Lithobates,capito,,Gopher frog,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,14,67,21,13,,,,,,,,,,,,,,,,,,,,,,,,,
968,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,,American bullfrog,North America,41.72556,-87.85278,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of individuals captured,Count - Drift fence / pitfall traps,No,,,,,,,,,,,,,,,,,,,,,,0,4,7,0,1,,,,,,,,,,,,,,,,,,,
972,Amphibia,Anura,Ranidae,Lithobates,clamitans,,Green frog,North America,33.27806,-81.72944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,,,,,,,,,,13,12,1,4,22,28,1,6,3,0,0,3,3,5,2,0,0,,,,,,,,,,,,,,,,,,,
973,Amphibia,Anura,Ranidae,Lithobates,pipiens,,Northern leopard frog,North America,40.85972,-105.58944,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of individuals,Mark-recapture of juveniles,No,,,,,,,,283,110,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Amphibia,Anura,Ranidae,Lithobates,pipiens,,Northern leopard frog,North America,41.72556,-87.85278,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of individuals captured,Count - Drift fence / pitfall traps,No,,,,,,,,,,,,,,,,,,,,,,1,1,8,6,7,,,,,,,,,,,,,,,,,,,
977,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,,Wood frog,North America,38.04167,-76.85417,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding adults,Capture and count using marks,No,,,,,,,,1400,250,500,800,1250,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,,Wood frog,North America,38.04167,-76.85417,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding adults,Capture and count using marks,No,,,,,,,,4000,500,750,500,600,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,,Wood frog,North America,38.571111,-79.0275,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of juveniles,Drift fence (capture),No,,,,,6000,1000,6900,0,600,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,,Wood frog,North America,38.571111,-79.0275,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding adults,Drift fence (capture),No,,,,,,,380,362,85,381,350,142,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,,Wood frog,North America,38.49556,-78.46472,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding adults,Drift fence (capture),No,,,,,,112,,,39,583,186,30,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,,Wood frog,North America,38.49556,-78.46472,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding adults,Drift fence (capture),No,,,,,,491,453,439,61,374,300,68,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,,Wood frog,North America,38.49556,-78.46472,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding adults,Drift fence (capture),No,,,,,,342,287,173,52,162,68,56,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,,Wood frog,North America,38.49556,-78.46472,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding adults,Drift fence (capture),No,,,,,,266,246,209,121,123,167,102,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Amphibia,Anura,Ranidae,Lithobates,sphenocephalus,,Southern leopard frog,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,6,17,0,63,4,,,,,,,,,,,,,,,,,,,,,,,,
986,Amphibia,Anura,Ranidae,Lithobates,sphenocephalus,,Southern leopard frog,North America,33.27806,-81.72944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,,,,,,,,,,90,93,118,56,95,35,15,5,10,5,0,10,7,35,30,2,0,,,,,,,,,,,,,,,,,,,
987,Amphibia,Anura,Ranidae,Lithobates,yavapaiensis,,Lowland leopard frog,North America,33.01667,-110.01722,TRUE,Freshwater,Xeric freshwaters and endorheic basins,Nearctic,Yes,No,No,Number of adults,Capture-mark-recapture,No,,,,,,,,,,,,,,,,,,,,,,313,443,156,134,92,70,,,,,,,,,,,,,,,,,,
988,Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,,Eastern spadefoot,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,85,257,2263,164,44,,,,,,,,,,,,,,,,,,,,,,,,
989,Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,,Eastern spadefoot,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,85,257,2263,164,44,,,,,,,,,,,,,,,,,,,,,,,,
990,Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,,Eastern spadefoot,North America,33.27806,-81.72944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,,,,,,,,,,12,2,3,8,32,4,4,6,12,0,0,38,8,4,8,42,43,,,,,,,,,,,,,,,,,,,
4523,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,,American toad,North America,45,-85,FALSE,Freshwater,Large lakes,Nearctic,Yes,No,No,Population index,Survey route,No,,,,,,,,,,,,,,,,,,,,,,,,,,51,52.5,48,49,43,43,45,43,,,,,,,,,,,,
